"","exper_init_var","exper_ssid_var","demand","feedb_awar_var","feedb_blef_var","video_awar_var","heard_awar_var","block.num","trial","anger","happy","hap","sat","enj","agg","irr","ann","dif"
"230","rev",139,"neu",0,NA,1,0,2,"angr",0.333333333333333,0,0,0,0,0,1,0,5
"231","rev",139,"neu",0,NA,1,0,1,"happ",0,0,0,0,0,0,0,0,1
"232","rev",139,"neu",0,NA,1,0,2,"happ",0,0,0,0,0,0,0,0,2
"233","rev",139,"neu",0,NA,1,0,1,"neut",0,0,0,0,0,0,0,0,1
"234","rev",139,"neu",0,NA,1,0,2,"neut",0,0,0,0,0,0,0,0,1
"235","BAF",140,"pos",4,2,0,0,1,"angr",0,1,1,0,2,0,0,0,1
"236","BAF",140,"pos",4,2,0,0,2,"angr",0,0.333333333333333,0,0,1,0,0,0,1
"237","BAF",140,"pos",4,2,0,0,1,"happ",0,1.66666666666667,2,1,2,0,0,0,1
"238","BAF",140,"pos",4,2,0,0,2,"happ",1,0.666666666666667,1,1,0,1,1,1,1
"239","BAF",140,"pos",4,2,0,0,1,"neut",0,1.33333333333333,0,3,1,0,0,0,1
"240","BAF",140,"pos",4,2,0,0,2,"neut",1,0.666666666666667,0,1,1,1,1,1,1
"241","TKA",141,"pos",0,1,3,0,1,"angr",0.666666666666667,0,0,0,0,0,1,1,1
"242","TKA",141,"pos",0,1,3,0,2,"angr",1,0,0,0,0,1,1,1,1
"243","TKA",141,"pos",0,1,3,0,1,"happ",0,1.33333333333333,1,2,1,0,0,0,1
"244","TKA",141,"pos",0,1,3,0,2,"happ",0,1,1,1,1,0,0,0,1
"245","TKA",141,"pos",0,1,3,0,1,"neut",1,0,0,0,0,1,1,1,1
"246","TKA",141,"pos",0,1,3,0,2,"neut",1,0,0,0,0,1,1,1,1
"247","TKA",142,"neu",1,2,0,0,1,"angr",0,0.666666666666667,0,1,1,0,0,0,1
"248","TKA",142,"neu",1,2,0,0,2,"angr",0,0.666666666666667,0,1,1,0,0,0,1
"249","TKA",142,"neu",1,2,0,0,1,"happ",0,1,1,1,1,0,0,0,1
"250","TKA",142,"neu",1,2,0,0,2,"happ",0,2,2,2,2,0,0,0,1
"251","TKA",142,"neu",1,2,0,0,1,"neut",0,0.333333333333333,0,1,0,0,0,0,1
"252","TKA",142,"neu",1,2,0,0,2,"neut",0,0.333333333333333,0,1,0,0,0,0,1
"253","TKA",143,"neg",0,NA,0,0,1,"angr",0,2,3,0,3,0,0,0,2
